line,tipo,data_ocorrencia,endereco,latitude,longitude
398,Homicidio,19/02/2017,"AVENIDA CANDIDO PORTINARI, 455 JAGUARA - 05114000 S.PAULO SP",-23.5082131,-46.7515287
403,Homicidio,06/02/2017,"RUA DESEMBARGADOR JONAS COELHO VILHENA, 19 ITAIM PAULISTA - 08130280 S.PAULO SP",-23.5068714,-46.3715727
408,Homicidio,07/02/2017,"RUA LUCAS LOSSIUS, 72 SAPOPEMBA - 03977005 S.PAULO SP",-23.6218808,-46.4857229
409,Homicidio,19/02/2017,"AVENIDA ADRIANO BERTOZZI, 624 PARQUE DO CARMO - 08265000 S.PAULO SP",-23.5719736,-46.4520564
413,Homicidio,07/02/2017,"RUA ERVA ANDORINHA, 123 JARDIM HELENA - 08090470 S.PAULO SP",-23.4787878,-46.4234527
417,Homicidio,05/02/2017,"ESTRADA DE ITAPECERICA, 1661 JD SAO LUIS - 05835000 S.PAULO SP",-23.6485499,-46.7491643
418,Homicidio,04/02/2017,"ACESSO AVENIDA RAGUEB CHOHFI, 3000 IGUATEMI - - S.PAULO SP",-23.5968393,-46.4565323
424,Homicidio,12/02/2017,"RUA AUGUSTO TEIXEIRA, 0 GRAJAU - 04841160 S.PAULO SP",-23.7386945,-46.6868568
428,Homicidio,15/02/2017,"RUA NAME, 286 PENHA - 03662020 S.PAULO SP",-23.5220094,-46.4986476
429,Homicidio,11/02/2017,"RUA MANOEL EMIDIO, 262 SAO LUCAS - 03267150 S.PAULO SP",-23.5999642,-46.529065
430,Homicidio,11/02/2017,"RUA MANOEL EMIDIO, 262 SAO LUCAS - 03267150 S.PAULO SP",-23.5999642,-46.529065
432,Homicidio,12/02/2017,"RUA RODRIGUES DA GUERRA, 364 SAPOPEMBA - 03979060 S.PAULO SP",-23.6152475,-46.5076869
433,Homicidio,27/02/2017,"RUA DOUTOR JERONIMO DE CAMPOS FREIRE, 12 VILA ANDRADE - 05712030 S.PAULO SP",-23.6205711,-46.7276638
434,Homicidio,23/02/2017,"AVENIDA GOVERNADOR CARVALHO PINTO, 3000 CANGAIBA - 03739000 S.PAULO SP",-23.513963,-46.52237
440,Homicidio,27/02/2017,"RUA DOUTOR OSWALDO MELLONE, 244 JD SAO LUIS - 05780300 S.PAULO SP",-23.6463706,-46.7546004
441,Homicidio,11/02/2017,"RUA BENTOPOLIS, 85 VILA MARIA - 02181080 S.PAULO SP",-23.5203067,-46.5638373
442,Homicidio,19/02/2017,"RUA JOAQUIM GIL DE CARVALHO, 61 VILA CURUCA - 08030060 S.PAULO SP",-23.496905,-46.4274534
443,Homicidio,25/02/2017,"RUA PADRE JOSE MATERNI, 501 FREGUESIA DO O - 02836010 S.PAULO SP",-23.4713491,-46.6972736
448,Homicidio,18/02/2017,"AVENIDA JORNALISTA ROBERTO MARINHO, 3780 CAMPO BELO - 04576010 S.PAULO SP",-23.6328784,-46.670308
449,Homicidio,11/02/2017,"AVENIDA BENTO DE SOUSA, 348 JD SAO LUIS - 04913000 S.PAULO SP",-23.6780601,-46.7437683
450,Homicidio,11/02/2017,"AVENIDA BENTO DE SOUSA, 348 JD SAO LUIS - 04913000 S.PAULO SP",-23.6780601,-46.7437683
451,Homicidio,20/02/2017,"RUA TAMARUTACA, 16 SAO MIGUEL - 08010480 S.PAULO SP",-23.4951789,-46.4307887
452,Homicidio,19/02/2017,"RUA DOUTOR JOSE GUILHERME EIRAS, 123 SAO MIGUEL - 08010220 S.PAULO SP",-23.4970547,-46.4400499
453,Homicidio,10/02/2017,"RUA SENADOR FLAQUER, 1 SANTO AMARO - 04744030 S.PAULO SP",-23.6533111,-46.7064476
454,Homicidio,10/02/2017,"RUA SENADOR FLAQUER, 1 SANTO AMARO - 04744030 S.PAULO SP",-23.6533111,-46.7064476
