"","ano","numero_bo","tipo","data_ocorrencia","periodo_ocorrencia","flagrante","endereco","latitude","longitude"
"12166",2003,4124,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","R DR NESTOR ALBERTO DE MACEDO, 13 VL. MORAES - nan S.PAULO SP",-23.6259356,-46.6198639
"12167",2003,676,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","EST DO LUTERO, 0 RIO COTIA - 06700000 COTIA SP",-23.6087851,-46.8758088
"12168",2003,2029,"Roubo de Veículo","24/06/2003","A NOITE","Nao","CAPITAO MARIO T CAMARGO, 1200 VILA PIRES - nan S.ANDRE SP",-23.674435,-46.5073409
"12169",2003,2029,"Roubo de Veículo","24/06/2003","A NOITE","Nao","CAPITAO MARIO T CAMARGO, 1200 VILA PIRES - nan S.ANDRE SP",-23.674435,-46.5073409
"12170",2003,712,"Roubo de Veículo","26/06/2003","EM HORA INCERTA","Nao","R BOA VISTA, 562 BOA VISTA - 09572300 S.CAETANO DO SUL SP",-23.643645,-46.5610993
"12171",2003,4607,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","AV DR JOSE ARTUR NOVA, 0 SAO MIGUEL PTA - nan S.PAULO SP",-23.4803344,-46.4290025
"12172",2003,1812,"Roubo de Veículo","26/06/2003","A TARDE","Nao","AV CAP MARIO TOLEDO DE CAMARGO, 0 VILA LUZITA - nan S.ANDRE SP",-23.69782,-46.5064179
"12173",2003,2010,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","AV SANTO AMARO, 0 STO AMARO - nan S.PAULO SP",-23.6402067,-46.6986829
"12174",2003,2011,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","AV SANTO AMARO, 0 STO AMARO - nan S.PAULO SP",-23.6402067,-46.6986829
"12175",2003,637,"Roubo de Veículo","25/06/2003","A NOITE","Nao","SIDINEY DE SOUZA BARBOSA JR, 0 PQ VIA NORTE - nan CAMPINAS SP",-22.8746015,-47.1269233
"12176",2003,637,"Roubo de Veículo","25/06/2003","A NOITE","Nao","SIDINEY DE SOUZA BARBOSA JR, 0 PQ VIA NORTE - nan CAMPINAS SP",-22.8746015,-47.1269233
"12177",2003,3121,"Roubo de Veículo","20/06/2003","A NOITE","Nao","RODOVIA INDIO TIBIRICA, 2505 OURO FINO PAULISTA - nan RIBEIRAO PIRES SP",-23.6700189,-46.3476259
"12178",2003,2010,"Roubo de Veículo","25/06/2003","A NOITE","Nao","R DR ULISSES GUIMARAES, 0 JARDIM ROSAS - nan FRANCISCO MORATO SP",-23.2878905,-46.7370645
"12179",2003,6268,"Roubo de Veículo","26/06/2003","A NOITE","Nao","AV. DAS NACOES, 0 PARQUE CAPUAVA - nan S.ANDRE SP",-23.645991,-46.4923159
"12180",2003,3235,"Roubo de Veículo","24/06/2003","A NOITE","Nao","EST PRES JUSCELINO KUBITSCHEK OLIVEIRA, 0 PIMENTAS - nan GUARULHOS SP",-23.4376446,-46.4071868
